Del;Arbetsmoment;Grupp;Rad;Moment/Typ/Sort;Underlag/Variant;Enhet;0;-1;-2;-3;-4;-5;-6;-7;-8;-9
9;9512014;512;14;Gruppcentral G II 19–27 säkringsapparater;Rör = -0 / Kabel = -1;central;2,63;3,49;;;;;;;;
9;9512015;512;15;Gruppcentral G II 28–36 säkringsapparater;Rör = -0 / Kabel = -1;central;3,31;4,37;;;;;;;;
9;9513010;513;10;Gruppcentral G III t.o.m. 3 säkringsapparater;Rör = -0 / Kabel = -1;central;1;1,1;;;;;;;;
9;9513011;513;11;Gruppcentral G III 4–6 säkringsapparater;Rör = -0 / Kabel = -1;central;1,42;1,63;;;;;;;;
9;9513012;513;12;Gruppcentral G III 7–12 säkringsapparater;Rör = -0 / Kabel = -1;central;2,26;2,68;;;;;;;;
9;9513013;513;13;Gruppcentral G III 13–18 säkringsapparater;Rör = -0 / Kabel = -1;central;2,85;3,49;;;;;;;;
9;9514010;514;10;Kopplingsränna KL 3–12, KLH 2–4 (exkl. fördelningsplint);Rör = -0 / Kabel = -1;ränna;0,26;0,26;;;;;;;;
9;9514011;514;11;Kopplingsränna inkl. fördelningsplint PLK 116–425;Rör = -0 / Kabel = -1;ränna;1,25;1,25;;;;;;;;
9;9516010;516;10;Infälld mediacentral max 75 cm;Oavsett underlag;per mediacentral;1,5;;;;;;;;;
9;9516011;516;11;Infälld mediacentral max 150 cm;Oavsett underlag;per mediacentral;1,8;;;;;;;;;
9;9517010;517;10;Infälld automatsäkrings/multimediacentral – låda ≤75 cm, t.o.m. 12 mod;Oavsett underlag;central;3,3;;;;;;;;;
9;9517011;517;11;D:o – låda ≤75 cm, t.o.m. 21 mod;Oavsett underlag;central;4,2;;;;;;;;;
9;9517012;517;12;D:o – låda ≤75 cm, t.o.m. 30 mod;Oavsett underlag;central;4,95;;;;;;;;;
9;9517013;517;13;D:o – låda ≤75 cm, t.o.m. 39 mod;Oavsett underlag;central;5,85;;;;;;;;;
9;9517014;517;14;D:o – låda ≤150 cm, t.o.m. 12 mod;Oavsett underlag;central;3,55;;;;;;;;;
9;9517016;517;16;D:o – låda ≤150 cm, t.o.m. 21 mod;Oavsett underlag;central;4,45;;;;;;;;;
9;9517017;517;17;D:o – låda ≤150 cm, t.o.m. 30 mod;Oavsett underlag;central;5,25;;;;;;;;;
9;9517018;517;18;D:o – låda ≤150 cm, t.o.m. 39 mod;Oavsett underlag;central;6,15;;;;;;;;;
9;9518010;518;10;Utanpåliggande mediacentral max 75 cm;Oavsett underlag;per mediacentral;0,44;;;;;;;;;
9;9518011;518;11;Utanpåliggande mediacentral max 75 cm, kapslad IP44–67;Oavsett underlag;per mediacentral;0,54;;;;;;;;;
9;9519010;519;10;Utanpåliggande automatsäkrings/multimediacentral ≤120 cm, t.o.m. 12 mod;Oavsett underlag;central;2,22;;;;;;;;;
9;9519011;519;11;D:o ≤120 cm, t.o.m. 21 mod;Oavsett underlag;central;3,03;;;;;;;;;
9;9519012;519;12;D:o ≤120 cm, t.o.m. 30 mod;Oavsett underlag;central;3,21;;;;;;;;;
9;9519013;519;13;D:o ≤120 cm, t.o.m. 39 mod;Oavsett underlag;central;3,84;;;;;;;;;
9;9519014;519;14;Kapslad ≤120 cm IP44–67, t.o.m. 12 mod;Oavsett underlag;central;2,35;;;;;;;;;
9;9519015;519;15;Kapslad ≤120 cm IP44–67, t.o.m. 21 mod;Oavsett underlag;central;3,15;;;;;;;;;
9;9519016;519;16;Kapslad ≤120 cm IP44–67, t.o.m. 30 mod;Oavsett underlag;central;3,35;;;;;;;;;
9;9519017;519;17;Kapslad ≤120 cm IP44–67, t.o.m. 39 mod;Oavsett underlag;central;3,95;;;;;;;;;
9;9520010;520;10;Kapslade centraler – brytare t.o.m. 40 A / 6 mm²;Oavsett underlag;brytare;0,89;;;;;;;;;
9;9520011;520;11;Kapslade centraler – brytare t.o.m. 80 A / 16 mm²;Oavsett underlag;brytare;1,08;;;;;;;;;
9;9520012;520;12;Kapslade centraler – brytare t.o.m. 160 A / 70 mm² (max 2 kablar);Oavsett underlag;brytare;1,84;;;;;;;;;
9;9520013;520;13;Kapslade centraler – brytare t.o.m. 320 A / 185 mm² (max 2 kablar);Oavsett underlag;brytare;3,01;;;;;;;;;
9;9520014;520;14;Kapslade centraler – brytare t.o.m. 630 A / 240 mm² (max 4 kablar);Oavsett underlag;brytare;6,1;;;;;;;;;
9;9520015;520;15;Kapslade centraler – brytare t.o.m. 1000 A / 300 mm² (max 4 kablar);Oavsett underlag;brytare;6,86;;;;;;;;;
9;9522010;522;10;Gängsäkringslåda 25 A;Oavsett underlag;låda;0,94;;;;;;;;;
9;9522011;522;11;Gängsäkringslåda 63 A;Oavsett underlag;låda;1,15;;;;;;;;;
9;9522012;522;12;Gängsäkringslåda 100 A;Oavsett underlag;låda;1,36;;;;;;;;;
9;9522013;522;13;Knivsäkrings-/säkringslastbrytare DIN 00 (≤70 mm²);Oavsett underlag;apparat;1,8;;;;;;;;;
9;9522014;522;14;D:o DIN 0 (≤120 mm²);Oavsett underlag;apparat;2,33;;;;;;;;;
9;9522015;522;15;D:o DIN 1 (≤185 mm²);Oavsett underlag;apparat;2,85;;;;;;;;;
9;9522016;522;16;D:o DIN 1 (≤240 mm²);Oavsett underlag;apparat;3,36;;;;;;;;;
9;9522017;522;17;D:o DIN 2, t.o.m. 15 ledare ≤185 mm²;Oavsett underlag;apparat;5,58;;;;;;;;;
9;9522018;522;18;D:o DIN 3, t.o.m. 15 ledare ≤300 mm²;Oavsett underlag;apparat;7,16;;;;;;;;;
9;9524010;524;10;Kapslade gruppcentraler G II t.o.m. 3 säkringsapparater;Oavsett underlag;central;1,22;;;;;;;;;
9;9524011;524;11;Kapslade G II 4–6 säkringsapparater;Oavsett underlag;central;1,51;;;;;;;;;
9;9524012;524;12;Kapslade G II 7–12 säkringsapparater;Oavsett underlag;central;1,97;;;;;;;;;
9;9524013;524;13;Kapslade G II 13–18 säkringsapparater;Oavsett underlag;central;2,6;;;;;;;;;
9;9524014;524;14;Kapslade G II 19–27 säkringsapparater;Oavsett underlag;central;3,34;;;;;;;;;
9;9525010;525;10;Kapslade gruppcentraler G III t.o.m. 6 apparater;Oavsett underlag;central;1,67;;;;;;;;;
9;9525011;525;11;Kapslade G III 7–9 apparater;Oavsett underlag;central;2,17;;;;;;;;;
9;9525012;525;12;Kapslade G III 10–12 apparater;Oavsett underlag;central;2,63;;;;;;;;;
9;9525013;525;13;Kapslade G III 13–18 apparater;Oavsett underlag;central;3,01;;;;;;;;;
9;9526010;526;10;Fördelningslåda CU-skena 12 mm, 4 flänsöppn.;Oavsett underlag;låda;1,13;;;;;;;;;
9;9526011;526;11;Fördelningslåda CU-skena 12 mm, 6 flänsöppn.;Oavsett underlag;låda;1,91;;;;;;;;;
9;9526012;526;12;Fördelningslåda CU-skena 20 mm, 4 flänsöppn.;Oavsett underlag;låda;1,94;;;;;;;;;
9;9526013;526;13;Fördelningslåda CU-skena 20 mm, 6 flänsöppn.;Oavsett underlag;låda;3,53;;;;;;;;;
9;9526014;526;14;Fördelningslåda utan skenor, 1 insats, 4 flänsöppn.;Oavsett underlag;låda;1,36;;;;;;;;;
9;9526015;526;15;Fördelningslåda utan skenor, 2 insatser, 6 flänsöppn.;Oavsett underlag;låda;2,07;;;;;;;;;
9;9528010;528;10;Övrig kapslad låda t.o.m. 5 kg;Oavsett underlag;låda;0,54;;;;;;;;;
9;9528011;528;11;Övrig kapslad låda >5–25 kg;Oavsett underlag;låda;0,75;;;;;;;;;
9;9529010;529;10;Montera separat enhet i låda/skåp – 1 skruv;Oavsett underlag;fäste etc;0,07;;;;;;;;;
9;9529015;529;15;Montera separat enhet – 2 skruv;Oavsett underlag;fäste etc;0,11;;;;;;;;;
9;9529020;529;20;Montera separat enhet – 3 skruv;Oavsett underlag;fäste etc;0,14;;;;;;;;;
9;9529025;529;25;Montera separat enhet – 4 skruv;Oavsett underlag;fäste etc;0,18;;;;;;;;;
9;9529030;529;30;Tillkommande skruv över 4;Oavsett underlag;skruv;0,04;;;;;;;;;
9;9530010;530;10;Montera samlingsskenor under gängsäkringscentral (ASEA JH IP43) m.m.;Oavsett underlag;m skena;0,09;;;;;;;;;
