Arbetsmoment;Grupp;Rad;Moment/Typ/Sort;Underlag/Variant;Enhet;0;-1;-2;-3;-4;-5;-6;-7;-8;-9
366;518;11;Utanpåliggande mediacentral max 75 cm, kapslad IP44–67;Oavsett underlag;per mediacentral;0,54;;;;;;;;;
367;519;10;Utanpåliggande automatsäkrings/multimediacentral ≤120 cm, t.o.m. 12 mod;Oavsett underlag;central;2,22;;;;;;;;;
368;519;11;D:o ≤120 cm, t.o.m. 21 mod;Oavsett underlag;central;3,03;;;;;;;;;
369;519;12;D:o ≤120 cm, t.o.m. 30 mod;Oavsett underlag;central;3,21;;;;;;;;;
370;519;13;D:o ≤120 cm, t.o.m. 39 mod;Oavsett underlag;central;3,84;;;;;;;;;
371;519;14;Kapslad ≤120 cm IP44–67, t.o.m. 12 mod;Oavsett underlag;central;2,35;;;;;;;;;
372;519;15;Kapslad ≤120 cm IP44–67, t.o.m. 21 mod;Oavsett underlag;central;3,15;;;;;;;;;
373;519;16;Kapslad ≤120 cm IP44–67, t.o.m. 30 mod;Oavsett underlag;central;3,35;;;;;;;;;
374;519;17;Kapslad ≤120 cm IP44–67, t.o.m. 39 mod;Oavsett underlag;central;3,95;;;;;;;;;
375;619;10;Tillägg: inkoppling inkom/utg. kablar >6–16 mm² (max 63 A);—;central;0,6;;;;;;;;;
376;619;11;Tillägg: snäppfästa separat apparat i automatsäkringscentral;—;apparat;0,02;;;;;;;;;
377;520;10;Kapslade centraler – brytare t.o.m. 40 A / 6 mm²;Oavsett underlag;brytare;0,89;;;;;;;;;
378;520;11;Kapslade centraler – brytare t.o.m. 80 A / 16 mm²;Oavsett underlag;brytare;1,08;;;;;;;;;
379;520;12;Kapslade centraler – brytare t.o.m. 160 A / 70 mm² (max 2 kablar);Oavsett underlag;brytare;1,84;;;;;;;;;
380;520;13;Kapslade centraler – brytare t.o.m. 320 A / 185 mm² (max 2 kablar);Oavsett underlag;brytare;3,01;;;;;;;;;
381;520;14;Kapslade centraler – brytare t.o.m. 630 A / 240 mm² (max 4 kablar);Oavsett underlag;brytare;6,1;;;;;;;;;
382;520;15;Kapslade centraler – brytare t.o.m. 1000 A / 300 mm² (max 4 kablar);Oavsett underlag;brytare;6,86;;;;;;;;;
383;522;10;Gängsäkringslåda 25 A;Oavsett underlag;låda;0,94;;;;;;;;;
384;522;11;Gängsäkringslåda 63 A;Oavsett underlag;låda;1,15;;;;;;;;;
385;522;12;Gängsäkringslåda 100 A;Oavsett underlag;låda;1,36;;;;;;;;;
386;522;13;Knivsäkrings-/säkringslastbrytare DIN 00 (≤70 mm²);Oavsett underlag;apparat;1,8;;;;;;;;;
387;522;14;D:o DIN 0 (≤120 mm²);Oavsett underlag;apparat;2,33;;;;;;;;;
388;522;15;D:o DIN 1 (≤185 mm²);Oavsett underlag;apparat;2,85;;;;;;;;;
389;522;16;D:o DIN 1 (≤240 mm²);Oavsett underlag;apparat;3,36;;;;;;;;;
390;522;17;D:o DIN 2, t.o.m. 15 ledare ≤185 mm²;Oavsett underlag;apparat;5,58;;;;;;;;;
391;522;18;D:o DIN 3, t.o.m. 15 ledare ≤300 mm²;Oavsett underlag;apparat;7,16;;;;;;;;;
392;524;10;Kapslade gruppcentraler G II t.o.m. 3 säkringsapparater;Oavsett underlag;central;1,22;;;;;;;;;
393;524;11;Kapslade G II 4–6 säkringsapparater;Oavsett underlag;central;1,51;;;;;;;;;
