Arbetsmoment;Grupp;Rad;Moment/Typ/Sort;Underlag/Variant;Enhet;0;-1;-2;-3;-4;-5;-6;-7;-8;-9
665;575;10;Betong – hållängd ≤10 cm;;hål;0,04;0,08;0,16;;;;;;;
666;575;11;Betong – hållängd ≤15 cm;;hål;0,06;0,12;0,22;;;;;;;
667;575;12;Betong – hållängd ≤20 cm;;hål;0,08;0,15;0,3;;;;;;;
668;575;13;Betong – tillkommande 5 cm;;påbörjad 5 cm;0,02;0,04;0,07;;;;;;;
669;576;10;Elementbetong – hållängd ≤10 cm;;hål;0,06;0,13;0,26;;;;;;;
670;576;11;Elementbetong – hållängd ≤15 cm;;hål;0,08;0,19;0,39;;;;;;;
671;576;12;Elementbetong – hållängd ≤20 cm;;hål;0,11;0,25;0,52;;;;;;;
672;576;13;Elementbetong – tillkommande 5 cm;;påbörjad 5 cm;0,03;0,06;0,13;;;;;;;
673;578;20;Lättbetong – hållängd ≤7 cm;;hål;0,02;0,03;0,12;0,17;;;;;;
674;578;21;Lättbetong – hållängd ≤30 cm;;hål;0,03;0,06;0,18;0,25;;;;;;
675;579;20;Tegel – hållängd ≤15 cm;;hål;0,04;0,06;0,14;0,21;;;;;;
676;579;21;Tegel – hållängd ≤30 cm;;hål;0,06;0,09;0,17;0,27;;;;;;
677;579;22;Tegel – hållängd ≤45 cm;;hål;0,08;0,13;0,19;0,33;;;;;;
678;579;23;Tegel – tillkommande 10 cm;;hål;0,02;0,03;0,06;0,1;;;;;;
679;580;10;Trä – hållängd ≤5 cm;;hål;0,02;0,03;;;;;;;;
680;580;11;Trä – hållängd ≤12 cm;;hål;0,03;0,06;;;;;;;;
681;580;12;Trä – hållängd ≤20 cm;;hål;0,05;0,09;;;;;;;;
682;580;13;Trä – hållängd ≤30 cm;;hål;0,06;0,12;;;;;;;;
683;581;10;Trossbotten – hållängd ≤30 cm;;hål;0,07;0,14;;;;;;;;
684;581;11;Trossbotten – hållängd ≤50 cm;;hål;0,11;0,19;;;;;;;;
685;582;10;Håltagning för brandlarmskabel i lättbetongtak över bärbalkar;;hål;0,08;;;;;;;;;
686;582;12;Håltagning i ställverksgolv t.o.m. Ø100×50 mm (dosborr/hålsåg);;hål;0,11;;;;;;;;;
687;583;10;Stål t.o.m. 2 mm godstjocklek;;hål;0,02;0,03;0,05;;;;;;;
688;583;11;Stål t.o.m. 5 mm godstjocklek;;hål;0,03;0,04;0,05;;;;;;;
689;583;12;Stål t.o.m. 10 mm godstjocklek;;hål;0,05;0,06;0,07;;;;;;;
690;583;13;Stål t.o.m. 15 mm godstjocklek;;hål;0,09;0,09;;;;;;;;
691;583;18;Hål i stål t.o.m. Ø50 mm med hålstans (inkl förborrning, stål ≤2 mm);;hål;0,07;;;;;;;;;
692;583;20;Montera gummibussning i plåthål;;bussning;0,02;;;;;;;;;
693;583;22;Montera Molly-bult utan anspänningsverktyg / Platti-plugg / Spring-Toggler;;bult;0,01;;;;;;;;;
694;583;30;Hål i stål Ø21–40 mm (stål ≤3 mm / plast ≤6 mm) – stegborr/konisk/hålsåg;;hål;0,08;;;;;;;;;
695;583;31;Hål i stål Ø41–75 mm (stål ≤3 mm / plast ≤6 mm) – stegborr/konisk/hålsåg;;hål;0,17;;;;;;;;;
696;583;34;Rektangulärt hål i stål ≤3 mm, största mått 75–125 mm (förborrning+sticksåg);;hål;0,29;;;;;;;;;
697;583;36;Rektangulärt hål i plast, största mått 75–125 mm;;hål;0,18;;;;;;;;;
698;583;38;Rektangulärt hål i stål ≤3 mm, största mått >125–200 mm;;hål;0,44;;;;;;;;;
699;583;39;Rektangulärt hål i plast, största mått >125–200 mm;;hål;0,19;;;;;;;;;
700;584;10;"Gängning t.o.m. M8 / W 5/16""";;hål;0,02;;;;;;;;;
701;585;10;Inner- eller yttergänga;;gängning;0,03;;;;;;;;;
702;998;10;Tillägg vid uppläggning av stege/trådstege/ränna/armaturskena/montageskena/svagströmsränna;;m;0,04;0,03;;;;;;;;
703;998;11;Tillägg vid montering av bärbygel på lina för trådstege;;m trådstege;0,04;0,03;;;;;;;;
704;998;15;Tillägg för änd-/bärfäste e.d. vid utdragning av bärlina;;stödpunkt;0,09;0,06;;;;;;;;
705;998;16;Tillägg vid håltagning/konsol-/pendeluppsättning e.d.;;arbetsställe;0,09;0,06;;;;;;;;
706;504;10;Ellist/fästlist med eller utan lock på vägg/tak inkl. kapning;;m;0,08;;;;;;;;;
707;506;10;Minikanal – plast;;m;0,15;;;;;;;;;
708;506;11;Minikanal – trä/metall;;m;0,17;;;;;;;;;
709;506;12;Avgreningsdosa inkl. demont./mont. av lock samt urtag;;st;0,11;;;;;;;;;
710;508;10;Kanal – plast;;m;0,16;0,26;0,36;;;;;;;
711;508;11;Kanal – metall/trä;;m;0,18;0,28;0,38;;;;;;;
712;510;10;Fönsterbänkskanal – plast;;m;0,16;0,31;0,39;;;;;;;
713;510;11;Fönsterbänkskanal – metall;;m;0,18;0,33;0,41;;;;;;;
714;514;10;Front/lock för tillkommande fack inkl. kapning;;m;0,05;;;;;;;;;
715;514;11;Kabelhylla/mellanvägg inkl. kapning;;m;0,04;;;;;;;;;
716;514;12;Montering av väggkonsol;;konsol;0,11;;;;;;;;;
717;514;13;Mellanlägg för väggkonsol;;konsol;0,02;;;;;;;;;
718;514;14;Tak-/väggram/ändstycke – snäppfastsatta;;st;0,05;;;;;;;;;
719;514;15;Montera ljudtätning vid väggenomföring;;kanalgenomföring;0,15;;;;;;;;;
720;514;16;Montage/anslutning av separat potentialutjämning/jordningsbleck;;st;0,05;;;;;;;;;
721;514;17;Avvinkla kanal med färdig detalj inkl. front;;avvinkling;0,18;;;;;;;;;
722;514;18;Avvinkla kanal inkl. lock med gersågning;;avvinkling;0,25;;;;;;;;;
723;514;19;Ventilationsgaller inkl. kapning, skarv och hållare – montage;;m;0,05;;;;;;;;;
724;514;20;Konvektorskärm inkl. konsolsats – montage;;st;0,11;;;;;;;;;
725;514;21;Borttaga skyddsfilm på kanal/lock;;m;0,02;;;;;;;;;
726;514;22;Demont. och mont. av lock vid komplettering i bef. kanal;;m;0,05;;;;;;;;;
727;514;23;Buntbandsfäste;;st;0,03;;;;;;;;;
728;514;24;Kapning av kanal när kapmaskin ej tillhandahålls;;kapning;0,07;;;;;;;;;
729;514;25;Kapning av lock när kapmaskin ej tillhandahålls;;kapning;0,04;;;;;;;;;
730;514;30;Installationsbox exkl. inkoppling;;box;0,15;;;;;;;;;
731;514;31;Avgreningsenhet/avgreningsdosa;;st;0,11;;;;;;;;;
732;514;32;Tak-/väggram/ändstycke – skruvfastsatt;;st;0,11;;;;;;;;;
733;518;10;Tomdosa i kanal;;st;0,04;;;;;;;;;
734;518;11;Apparatdosa inkl. montering och anslutning av vägguttag;;st;0,27;;;;;;;;;
735;518;12;Snabbkopplingsuttag ”Masteruttag” med kabelanslutning – montage;;uttag;0,17;;;;;;;;;
736;518;13;Vägguttag med snabbkoppling inkl. ijackning och uppordning av kablage – montage;;uttag;0,13;;;;;;;;;
737;518;14;Slavuttag på befintligt snabbkopplingsuttag – montage;;uttag;0,07;;;;;;;;;
738;518;15;Tillägg för uppskalning och dragavlastning vid anslutning av väggapparat i dosa;;apparat;0,09;;;;;;;;;
739;526;10;Kabelhållare – 1 fästpunkt;;hållare;0,03;;;;;;;;;
740;526;11;Underlist t.o.m. 1 m;;m;0,14;;;;;;;;;
741;526;12;Underlist – del över 1 m;;m;0,08;;;;;;;;;
742;526;13;Bottenplatta för kopplingsdosa – 2 fästpunkter;;platta;0,06;;;;;;;;;
743;526;14;Sockeldosa (bottenplatta + kåpa) – 2 fästpunkter;;dosa;0,07;;;;;;;;;
744;526;15;Tillkommande fästpunkt;;skruv;0,02;;;;;;;;;
745;528;10;Fästa kabelhållare på underlist;;hållare;0,01;;;;;;;;;
746;528;11;Fästa täcklist på hållare/underlist/klemmiklammer;;m;0,05;;;;;;;;;
747;528;13;Kapa med bågfil när kapsax ej tillhandahålles;;kapning;0,02;;;;;;;;;
748;999;10;Tillägg vid montering av list- och kanalsystem;;arbetsställe;0,09;0,06;;;;;;;;
749;500;10;Förläggning flexibel kanalskena 3-/5-ledare t.o.m. 2,5 mm²;;m;0,05;0,09;0,03;;;;;;;
750;501;10;Montering av inmatningslåda;;låda;0,26;0,16;;;;;;;;
751;501;11;Montering av ändavslutning;;ände;0,07;;;;;;;;;
752;501;12;Fixering av inmatningslåda/uttag (inkl. ev. fästen);;inmatningslåda/uttag;0,05;;;;;;;;;
753;530;10;Skenelement enkelsidig / 1-krets;;m skena;0,09;;;;;;;;;
754;530;12;Skenelement dubbelsidig / 2-krets;;m skena;0,11;;;;;;;;;
755;540;10;Vajerpendel komplett – montering;;st;0,33;0,26;;;;;;;;
756;540;11;Rörpendel komplett – montering;;st;0,31;0,23;;;;;;;;
757;540;12;Universalfäste (1 skruv) – montering;;st;0,11;0,04;;;;;;;;
758;540;13;Kapa pendel;;st;0,03;;;;;;;;;
759;540;14;Skarva pendel / rörskarv;;st;0,05;;;;;;;;;
760;540;15;Takfäste för trapetsplåt;;st;0,1;;;;;;;;;
761;550;10;Fästa inmatningslåda + montera skarvdon till strömskena;;låda;0,11;;;;;;;;;
762;550;12;Byte av uttagstätning;;st;0,05;;;;;;;;;
763;550;13;Kapa skena;;st;0,09;;;;;;;;;
764;550;14;Ändavslutning – montering;;st;0,03;;;;;;;;;
765;551;10;Ijackning av stickpropp i uttag inkl. uppordning av sladd;;ijackn.;0,03;0,02;;;;;;;;
766;551;11;Montering av förgreningsdon inkl. 1–4 ijackningar + kablageuppordning;;förgreningsdon;0,15;0,09;;;;;;;;
767;551;12;Montering av stickpropp 2-pol + PE eller stick-/hylskontakt;;kontakt;0,09;0,06;;;;;;;;
768;551;13;Montering av stickpropp för belysningsstyrning – enkel;;kontakt;0,13;0,08;;;;;;;;
769;551;14;Montering av stickpropp för belysningsstyrning – dubbel/trapp;;kontakt;0,17;0,1;;;;;;;;
770;551;15;Fasväxling i stickpropp;;stickpropp;0,02;;;;;;;;;
771;551;16;Montering av separat låsdel för sladdställ;;låsdel;0,01;0,01;;;;;;;;
772;600;10;Uppläggning skenelement – horisontalt/vertikalt;;m skena;0,06;0,11;0,31;;;;;;;
773;600;11;Tillägg – skenelement med påmonterad låda;;enhet;;0,1;0,12;;;;;;;
774;600;12;Tillägg – vinkel-/kors-/T-element;;element;;0,11;0,29;;;;;;;
775;610;10;El-skarv med skruvförband;;skarv;0,26;0,42;0,8;;;;;;;
776;610;11;El-skarv med skarvblock;;skarv;0,21;0,34;0,64;;;;;;;
777;620;10;Täta kapslingsskarv (Canalis KU) – tätningsmassa + 4 byglar, IP54;;skarv;0,3;;;;;;;;;
778;630;10;Fastsätta ändavslutning;;ändavslutning;0,11;0,13;0,13;;;;;;;
779;630;11;Fästa inmatningslåda + montera skarvdon till strömskenor;;låda;0,11;0,16;0,25;;;;;;;
780;630;12;Montera uttagslåda;;låda;0,04;0,09;0,57;;;;;;;
781;640;10;Fästanordning med två pendeljärn;;fästanordn.;0,54;0,29;;;;;;;;
782;640;12;Fästanordning med en pendel + universalfäste;;fästanordn.;0,31;0,18;;;;;;;;
783;640;14;Fästanordning direkt på underlag;;fästanordn.;0,25;0,08;;;;;;;;
784;998;10;Tillägg vid uppläggning av skenelement;;m skena;0,04;0,03;;;;;;;;
785;998;11;Tillägg vid montering av konsol/fästanordning etc.;;arbetsställe;0,09;0,06;;;;;;;;
786;500;10;Uppställa/inpassa/avväga enhet – vikt över 5 t.o.m. 50 kg;;enhet;0,18;;;;;;;;;
787;500;12;Uppställa/inpassa/avväga enhet – vikt över 50 t.o.m. 100 kg;;enhet;0,41;;;;;;;;;
788;500;14;Uppställa/inpassa/avväga enhet – vikt över 100 t.o.m. 200 kg;;enhet;1,04;;;;;;;;;
789;500;16;Uppställa/inpassa/avväga enhet – vikt över 200 t.o.m. 400 kg;;enhet;1,67;;;;;;;;;
790;500;18;Uppställa/inpassa/avväga enhet – vikt över 400 t.o.m. 600 kg;;enhet;2,31;;;;;;;;;
791;500;20;Uppställa/inpassa/avväga enhet – vikt över 600 t.o.m. 800 kg;;enhet;2,93;;;;;;;;;
792;505;10;Fästa enhet med t.o.m. 4 skruv/bult – oavsett underlag;;enhet;0,31;;;;;;;;;
793;510;10;Hopmontera och upprikta 2 enheter;;hopmont.;0,41;0,5;;;;;;;;
794;510;12;Tillkommande skruv/bult över 12;;bult;0,04;;;;;;;;;
795;520;10;Skarva, påsticka eller ansluta skena t.o.m. 4 bult;;förband;0,27;0,37;0,42;0,52;0,62;;;;;
796;520;12;Tillkommande bult över 4;;bult;0,05;0,07;0,11;0,11;0,11;;;;;
797;520;14;Montera separat levererad skena i skenhållare;;hållare;0,11;0,12;0,2;0,25;0,33;;;;;
798;501;10;Teleapparat t.o.m. 4 inkopplingar inkl. jack/kopplingsplint;;apparat;0,12;;;;;;;;;
799;501;11;Teleapparat utvändig ≤1 kg inkl. jack/kopplingsplint;;apparat;0,19;;;;;;;;;
800;501;12;Teleapparat utvändig >1–5 kg inkl. jack/kopplingsplint;;apparat;0,26;;;;;;;;;
801;501;13;Teleapparat utvändig >5–25 kg inkl. jack/kopplingsplint;;apparat;0,45;;;;;;;;;
802;505;10;Karmkontakter på trä/färdigborrat, t.o.m. 4 inkopplingar;;sats;0,25;;;;;;;;;
803;505;15;Karmkontakter inkl. infällning i trä, t.o.m. 4 inkopplingar;;sats;0,47;;;;;;;;;
804;507;10;Signalhorn/sirén ≤5 kg, 4 fästskruv, t.o.m. 4 inkopplingar;;apparat;0,23;;;;;;;;;
805;507;15;Signalhorn/sirén >5–25 kg;;apparat;0,3;;;;;;;;;
806;509;10;Propp/hylsa t.o.m. 4 inkopplingar med lödning;;propp/hylsa;0,09;;;;;;;;;
807;509;12;Propp/hylsa t.o.m. 12 inkopplingar skruv/lödning;;propp/hylsa;0,2;;;;;;;;;
808;509;14;Ijacka propp/hylsa;;propp/hylsa;0,02;;;;;;;;;
809;512;10;Transformator/likriktare/agg 15–500 VA;;apparat;0,45;;;;;;;;;
810;512;11;D:o >500–2000 VA;;apparat;0,6;;;;;;;;;
811;512;13;D:o >2000–5000 VA;;apparat;1,31;;;;;;;;;
812;512;15;Stickproppsanslutet ≤24 VA;;apparat;0,21;;;;;;;;;
813;512;17;Batterieliminator, inkoppla + ijacka i uttag;;apparat;0,04;;;;;;;;;
814;512;25;Uppställa/inpassa batteri på golv;5–25 kg;batteri;0,2;0,25;0,43;;;;;;;
815;512;26;Uppställa/inpassa batteri på hylla ≤1,5 m;5–25/50/100 kg;batteri;0,23;0,37;0,62;;;;;;;
816;512;30;Hopmontera batteriprovare;;batt.provare;0,03;;;;;;;;;
817;512;31;Fästa hållare för batteriprovare;;hållare;0,1;;;;;;;;;
818;512;32;Fästa jordklämma på vattenledningsrör;;klämma;0,06;;;;;;;;;
819;512;35;Montera huv och finsäkring;;sats;0,03;;;;;;;;;
820;512;36;Montera batteri ≤5 kg;;batteri;0,04;;;;;;;;;
821;513;10;Utv. kopplingsbox snäpplock, 1 fästskruv;;box;0,07;;;;;;;;;
822;513;15;Utv. kopplingsbox snäpplock, 2 fästskruv;;box;0,1;;;;;;;;;
823;513;20;Utv. kopplingsbox snäpplock, 4 fästskruv;;box;0,15;;;;;;;;;
824;515;10;Utv. kopplingsbox lock 1 skruv;;box;0,09;;;;;;;;;
825;515;15;Utv. kopplingsbox lock 2 skruv;;box;0,11;;;;;;;;;
826;515;20;Utv. kopplingsbox lock 4 skruv;;box;0,16;;;;;;;;;
827;517;10;Täcklock (montering);;lock;0,01;;;;;;;;;
828;517;10;Täcklock (demontera+montera);;lock;0,02;;;;;;;;;
829;517;15;Monteringsram (montering);;ram;0,02;;;;;;;;;
830;517;15;Monteringsram (demontera+montera);;ram;0,04;;;;;;;;;
831;519;10;Apparatram med 2 skruv;;ram;0,1;;;;;;;;;
832;519;15;Apparatram med 4 skruv;;ram;0,14;;;;;;;;;
833;522;10;Hopmontera grundstativ NBF11003 el. likn (exkl. fastsättning);;stativ;0,59;;;;;;;;;
834;522;11;Fästa stativ med expander/fransk skruv;;stativ;0,59;;;;;;;;;
835;522;12;Fästa stativ golv + övre i kabelstege;;stativ;0,43;;;;;;;;;
836;522;15;Montera sats för kopplingsplintar NBH10202 el. likn;;sats;0,09;;;;;;;;;
837;522;20;Montera sats för apparater NBH10402 el. likn;;sats;0,17;;;;;;;;;
838;522;25;Montera sats NBH10303 för plintpaket RNT702 Mini-KK;;sats;0,36;;;;;;;;;
839;522;30;Montera trådledare 675075;;trådledare;0,03;;;;;;;;;
840;522;35;Montera reläskena 447047/3 inkl. tillbehör;;sats;0,15;;;;;;;;;
841;522;40;Montera skyddshuv 312198 på NBH10201;;huv;0,01;;;;;;;;;
842;522;45;Montera skena NBH10401 / ram NBH10201 (2 skruv+mutters);;skena/ram;0,09;;;;;;;;;
843;522;50;Montera skena/ram + kabelstöd;;skena/ram/stöd;0,07;;;;;;;;;
844;522;55;Montera plinthållare NBH70203 (2 skruv);;hållare;0,03;;;;;;;;;
845;524;10;Montera separat plinthållare på ram/box;;hållare;0,03;;;;;;;;;
846;524;15;Montera kopplingsplint snäppfast;;plint;0,02;;;;;;;;;
847;524;16;Montera kopplingsplint skruvfast;;plint;0,03;;;;;;;;;
848;524;20;Hopmontera/uppsätta komplett hylsdon RNT702 i Mini-KK;;hylsdon;0,04;;;;;;;;;
849;524;25;Märka + montera signeringsskylt;;skylt;0,03;;;;;;;;;
850;524;30;Påsätta tillsatsklämma på plinthållare;;klämma;0,01;;;;;;;;;
851;526;10;Plastmantlad tele/elektronik/koax m enkel fläta ≤Ø13 mm;uppskal t.o.m. 40/100 cm;kabelände;0,05;;0,07;0,05;;;;;;
852;528;10;Uppfläta+tvinna koppartrådsfläta till ledare ≤20 cm;;skärm;0,05;;;;;;;;;
853;530;10;Inkoppling i stativ/teleapparat: t.o.m. 1 mm²;Skruv/Slitsplint/Lödning;ink;0,01;0,01;0,02;;;;;;;
854;532;10;Dra korskopplingstråd;;m;0,02;;;;;;;;;
855;534;10;Rakskarv EKU t.o.m. 4 ledare;;skarv;0,05;;;;;;;;;
856;534;30;Rakskarv övrig telekabel;antal ledare 4/5–10/11–20/21–40/41–60/100/200;skarv;0,27;0,39;0,53;0,89;1,22;1,94;;;;
857;534;35;Rakskarv övrig tele utomhus;antal ledare 4/5–10/11–20/21–40/41–60/100/200;skarv;0,4;0,58;0,79;1,34;1,83;2,92;;;;
858;534;60;Tillägg gjutharts-skarvbox;antal ledare 4/5–10/11–20/21–40/41–60/100/200;skarv;0,17;0,17;0,17;0,14;0,14;0,06;;;;
859;534;65;Tillägg gjutharts-skarvbox utomhus;antal ledare 4/…;skarv;0,25;0,25;0,25;0,21;0,21;0,1;;;;
860;540;10;Huvudur t.o.m. 8 inkopplingar;;huvudur;0,43;;;;;;;;;
861;540;15;Programur t.o.m. 5 inkopplingar;;programur;0,34;;;;;;;;;
862;542;10;Synkron/sekundärur i dosa t.o.m. 5 inkopplingar;;ur;0,13;;;;;;;;;
863;543;10;Synkron/sekundärur ≤400 mm, 1 fästskruv, t.o.m. 5 ink;;ur;0,19;;;;;;;;;
864;543;15;D:o >400–700 mm;;ur;0,31;;;;;;;;;
865;543;20;D:o >700–1000 mm, t.o.m. 4 fästskruv;;ur;0,59;;;;;;;;;
866;550;10;Synkron/sekundärur inkl. belysningsdel >400–700 mm;;ur;0,82;;;;;;;;;
867;550;15;D:o >700–1000 mm;;ur;1,07;;;;;;;;;
868;553;10;Enkelsidigt ur på konsol ≤400 mm, exkl. list, t.o.m. 5 ink;;ur;0,33;;;;;;;;;
869;553;15;Enkelsidigt ur på konsol ≤400 mm inkl. list;;ur;0,45;;;;;;;;;
870;553;20;Enkelsidigt ur >400–700 mm;;ur;1,03;;;;;;;;;
871;553;25;Enkelsidigt ur >700–1000 mm;;ur;1,26;;;;;;;;;
872;561;10;Dubbelsidigt ur på konsol ≤400 mm exkl. list, t.o.m. 8 ink;;ur;0,44;;;;;;;;;
873;561;15;Dubbelsidigt ur på konsol ≤400 mm inkl. list;;ur;0,55;;;;;;;;;
874;561;20;Dubbelsidigt ur >400–700 mm;;ur;1,28;;;;;;;;;
875;561;25;Dubbelsidigt ur >700–1000 mm;;ur;1,57;;;;;;;;;
876;573;10;Impulsförstärkare/relä, 6 inkopplingar;;ur;0,31;;;;;;;;;
877;575;10;Enkelsidigt ur på stolpe >400–700 mm t.o.m. 5 ink;;ur;0,72;;;;;;;;;
878;575;15;D:o >700–1000 mm;;ur;0,91;;;;;;;;;
879;579;10;Dubbelsidigt ur på stolpe >400–700 mm t.o.m. 8 ink;;ur;1;;;;;;;;;
880;584;10;Klocka/blankettstämpel, stickpropp;;ur;0,03;;;;;;;;;
881;584;15;D:o inkl. 2 inkopplingar i bef. dosa;;ur;0,06;;;;;;;;;
882;584;20;Klocka/blankettstämpel t.o.m. 5 inkopplingar;;ur;0,14;;;;;;;;;
883;590;15;Programmera ur med programstift;;stift;0,05;;;;;;;;;
884;600;10;Larmtryckknapp infälld i dosa;;apparat;0,15;;;;;;;;;
885;600;15;Larmtryckknapp utvändig inomhus;;apparat;0,17;;;;;;;;;
886;600;20;Larmtryckknapp kapslad utvändig;;apparat;0,18;;;;;;;;;
887;603;16;Ventilationsmätkammare inkl. detektor + håltagning;;apparat;0,74;;;;;;;;;
888;603;17;D:o inkl. montageplåt;;apparat;0,84;;;;;;;;;
889;604;10;Rök/värme/flamdetektor inkl. sockel (ev. fästplatta/täckring);;apparat;0,19;;;;;;;;;
890;604;15;Detektor med sockel/dosa för fuktiga lokaler;;apparat;0,25;;;;;;;;;
891;604;20;Detektor + hissanordning (2 brytringar) + anslutningsdosa;;hissanordn.;0,81;;;;;;;;;
892;604;25;Sockel inkl. ev. insats/fästplatta;;sockel;0,13;;;;;;;;;
893;604;30;Separat dosa;;dosa;0,09;;;;;;;;;
894;604;32;Indikering/summer på detektorsockel;;apparat;0,1;;;;;;;;;
895;604;35;Montera rökdetektorinsats (1 skruv/bajonett) när ej samtidigt;;insats;0,06;;;;;;;;;
896;604;40;Brandlarmsklocka/siren/blixtljus;;apparat;0,2;;;;;;;;;
897;604;42;Indikeringstablå för detektorer;;apparat;0,12;;;;;;;;;
898;609;15;Dörrhållarmagnet inkl. konsol (exkl. anslutn.);;magnet;0,23;;;;;;;;;
899;609;20;Dragplatta (magnetankare) 4 fästskruv (exkl. anslutn.);;platta;0,2;;;;;;;;;
900;611;10;Skyddskorg skruvfast;;korg;0,09;;;;;;;;;
901;611;15;Skyddskorg snäppfast;;korg;0,02;;;;;;;;;
902;611;25;Belägga detektor med Tektyl el. likn;;detektor;0,03;;;;;;;;;
903;611;35;Adressenhet;;enhet;0,34;;;;;;;;;
904;611;40;Inställa kod detektor/bibrandskåp;;enhet;0,05;;;;;;;;;
905;613;10;Montera samplingsrör ≤25 mm;;m;0,12;;;;;;;;;
906;613;12;Skarvmuff/ändtätning/rörböj inkl. limning;;st;0,08;;;;;;;;;
907;613;13;T-koppling inkl. limning;;koppling;0,12;;;;;;;;;
908;613;16;Borra första hålet i samplingsrör;;arbetsställe;0,06;;;;;;;;;
909;613;17;Tillkommande hål;;st;0,02;;;;;;;;;
910;613;18;Signera tejp/skylt för hål;;st;0,04;;;;;;;;;
911;613;30;Montera centralenhet;;enhet;0,37;;;;;;;;;
912;613;35;Montera filterbox/detektorbox;;låda;0,2;;;;;;;;;
913;613;40;Montera separat kondensflaska/ljuddämpare inkl. limning;;st;0,2;;;;;;;;;
914;613;45;Montera filter;;filter;0,1;;;;;;;;;
915;615;10;Detektor mikrovåg/infra (anpassning) exkl. anslutning;;detektor;0,79;;;;;;;;;
916;615;15;Glasdetektor exkl. sladd;;detektor;0,25;;;;;;;;;
917;615;20;Anpassningsenhet för glasdetektor;;enhet;0,36;;;;;;;;;
918;619;10;Magnetkontakt inkl. infällning;;par;0,31;;;;;;;;;
919;619;15;Mellanlägg;;mellanlägg;0,02;;;;;;;;;
920;619;20;Skyddshuv;;huv;0,02;;;;;;;;;
921;619;25;Mjukkabel;;kabel;0,25;;;;;;;;;
922;621;10;Förbikopplingsapparat (anpassning) exkl. anslutning;;apparat;0,61;;;;;;;;;
923;621;15;Manöverapparat (anpassning) exkl. anslutning;;apparat;0,92;;;;;;;;;
924;623;10;TV/CCTV-kamera inkl. fast objektiv (exkl. anslutning);;kamera;0,53;;;;;;;;;
925;623;15;Kamerafäste/väggfäste/inställningssockel;;enhet;0,16;;;;;;;;;
926;623;20;Tillägg bult;;bult;0,06;;;;;;;;;
927;623;25;"Monitor ≤25"" inkl. anpassning";;monitor;0,41;;;;;;;;;
928;623;30;1-polig koaxialkontakt montering;;kontakt;0,13;;;;;;;;;
929;630;10;Antennuttag infällt i dosa inkl. ev. slutmotstånd;;uttag;0,18;;;;;;;;;
930;630;15;Antennuttag utvändigt inkl. ev. slutmotstånd;;uttag;0,28;;;;;;;;;
931;637;10;Fördelare/avtappare – två fördelningar;;enhet;0,33;;;;;;;;;
932;637;15;Tillkommande fördelning;;fördelning;0,08;;;;;;;;;
933;639;10;Färdigmonterad förstärkarutrustning ≤10 kg, inkl. ansl. t.o.m. 4 koaxproppar + vägguttag;;enhet;0,51;;;;;;;;;
934;639;15;D:o >10–25 kg;;enhet;0,64;;;;;;;;;
935;639;20;Förstärkarutrustning av flera enheter (t.o.m. 6) inkl. montering/ansl. t.o.m. 6 koaxproppar;;apparatkomb;1,53;;;;;;;;;
936;639;25;Tillkommande enhet (förstärkare el. likn.) inkl. montering/ansl.;;enhet;0,25;;;;;;;;;
937;639;30;Separat bredbandslinjeförstärkare el. likn. (t.o.m. 2 koaxproppar);;enhet;0,51;;;;;;;;;
938;641;10;Monteringsplatta trä inkl. 3 inkopplingar i påmonterat vägguttag;;platta;0,25;;;;;;;;;
939;641;15;Monteringsplatta för låda med förborrade hål;;platta;0,13;;;;;;;;;
940;641;20;Skyddsskåp inomhus för förstärkarutrustning;;skåp;0,51;;;;;;;;;
941;641;25;Jordningsskena;;skena;0,1;;;;;;;;;
942;641;30;Värmeelement;;element;0,1;;;;;;;;;
943;641;35;Signeringsskylt;;skylt;0,04;;;;;;;;;
944;641;40;Skyltram för signering;;ram;0,09;;;;;;;;;
945;643;10;Märka antenn/huvud-/grenkabel (≤6 tecken);;kabelände;0,04;;;;;;;;;
946;643;15;Inkoppla slutmotstånd i fördelare/avtappare;;motstånd;0,02;;;;;;;;;
947;643;20;Uppskala+inkoppla skärm koax till jordningsskena;;kabelände;0,06;;;;;;;;;
948;643;25;Montera koaxialpropp inkl. uppskalning;;propp;0,08;;;;;;;;;
949;643;30;Montera kabelförskruvning/armatur inkl. uppskalning;;förskruvning/armatur;0,08;;;;;;;;;
950;643;35;Skarva koaxialkabel med kopplingsdon inkl. montering;;skarv;0,15;;;;;;;;;
951;755;10;IBM kontaktdon;;don;0,23;;;;;;;;;
952;755;15;BNC-koaxkontakter (jack/propp/hylsa);;jack/propp;0,16;;;;;;;;;
953;755;23;Modularpropp, oskärmad kabel;;propp;0,1;;;;;;;;;
954;757;10;Montera modularpanel i stativ inkl. blindbrickor;;panel;0,15;;;;;;;;;
955;757;11;Fixera kabel i stativ med strips/kardborre;;m bunt kabel;0,04;;;;;;;;;
956;757;12;Anslut/montera patchkabel (≤3 m);;kabel;0,07;;;;;;;;;
957;759;1;Uppskalning kabel med/utan folieskärm;;kabelände;0,03;;;;;;;;;
958;759;2;Avlastning kabel i uttag/jack;;kabelände;0,02;;;;;;;;;
959;759;3;Tillägg folieskärm på partvinnad 4-par;;kabelände;0,04;;;;;;;;;
960;759;4;Uppfläta+tvinna trådskärm inkl. anslutning;;fläta;0,05;;;;;;;;;
